"title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score"
"Frat Star","MOVIE",2017,NA,85,"['drama', 'comedy']","US",3.6,677,4.049,4.9
"King of Peking","MOVIE",2017,NA,88,"['drama', 'comedy']","GLOBAL",6.4,368,1.549,6.2
"Secrets in the Hot Spring","MOVIE",2018,NA,109,"['horror', 'comedy']","TW",6,774,4.289,6.6
"Jonaki","MOVIE",2018,NA,96,"['fantasy', 'drama', 'european']","GLOBAL",6.8,255,0.905,6.2
"Into the Wind","MOVIE",2018,NA,76,"['drama', 'european']","CZ",4.1,49,1.278,4.5
"Agustín Aristarán: Soy Rada","MOVIE",2018,NA,60,"['comedy']","AR",6.2,126,0.745,5.5
"Joshua: Teenager vs. Superpower","MOVIE",2017,NA,78,"['documentation']","US",7.3,1554,3.08,7.2
"Al-Khawaga's Dilemma","MOVIE",2018,NA,110,"['drama']","EG",NA,NA,0.946,6
"Aditi Mittal: Things They Wouldn't Let Me Say","MOVIE",2017,NA,62,"['comedy']","IN",4.3,333,1.858,4.6
"Fary Is the New Black","MOVIE",2018,NA,74,"['comedy', 'european']","FR",5.8,136,3.585,6.844
"Hadithi za Kumekucha: Fatuma","MOVIE",2018,NA,85,"['drama']","TZ",7.7,13,1.4,NA
